sample pop super_pop gender batch
HG02087 KHV EAS female 5
HG02088 KHV EAS male 9
HG02089 PEL AMR female 9
HG02090 PEL AMR male 3
HG02095 ACB AFR female 9
HG02102 PEL AMR female 4
HG02104 PEL AMR male 5
HG02105 PEL AMR female 3
HG02107 ACB AFR male 7
HG02108 ACB AFR female 1
HG02111 ACB AFR female 1
HG02113 KHV EAS female 2
HG02116 KHV EAS male 7
HG02121 KHV EAS female 3
HG02122 KHV EAS male 7
HG02127 KHV EAS female 2
HG02128 KHV EAS male 5
HG02130 KHV EAS female 2
HG02131 KHV EAS male 8
HG02133 KHV EAS female 10
HG02134 KHV EAS male 10
HG02136 KHV EAS female 3
HG02137 KHV EAS male 10
HG02138 KHV EAS male 5
HG02139 KHV EAS female 9
HG02140 KHV EAS female 10
HG02141 KHV EAS male 4
HG02142 KHV EAS female 8
HG02143 ACB AFR male 5
HG02144 ACB AFR female 9
HG02146 PEL AMR male 7
HG02147 PEL AMR female 4
HG02150 PEL AMR male 8
HG02151 CDX EAS female 4
HG02152 CDX EAS female 3
HG02153 CDX EAS female 2
HG02154 CDX EAS female 9
HG02155 CDX EAS female 6
HG02156 CDX EAS female 9
HG02164 CDX EAS female 1
HG02165 CDX EAS female 10
HG02166 CDX EAS female 9
HG02178 CDX EAS female 2
HG02179 CDX EAS female 3
HG02180 CDX EAS female 3
HG02181 CDX EAS female 7
HG02182 CDX EAS female 4
HG02184 CDX EAS female 7
HG02185 CDX EAS female 7
HG02186 CDX EAS female 1
HG02187 CDX EAS female 9
HG02188 CDX EAS female 5
HG02190 CDX EAS female 4
HG02215 GBR EUR female 7
HG02219 IBS EUR male 5
HG02220 IBS EUR female 2
HG02221 IBS EUR male 5
HG02223 IBS EUR female 6
HG02224 IBS EUR male 9
HG02230 IBS EUR female 4
HG02231 IBS EUR male 6
HG02232 IBS EUR female 7
HG02233 IBS EUR male 5
HG02235 IBS EUR female 8
HG02236 IBS EUR male 7
HG02238 IBS EUR male 10
HG02239 IBS EUR female 1
HG02250 CDX EAS male 6
HG02252 PEL AMR female 10
HG02253 PEL AMR male 5
HG02255 ACB AFR male 5
HG02256 ACB AFR female 8
HG02259 PEL AMR male 1
HG02260 PEL AMR female 7
HG02262 PEL AMR male 10
HG02265 PEL AMR male 1
HG02266 PEL AMR female 8
HG02271 PEL AMR male 9
HG02272 PEL AMR female 8
HG02274 PEL AMR male 9
HG02275 PEL AMR female 2
HG02277 PEL AMR male 2
HG02278 PEL AMR female 3
HG02281 ACB AFR male 3
HG02282 ACB AFR female 5
HG02283 ACB AFR male 2
HG02284 ACB AFR male 8
HG02285 PEL AMR male 10
HG02286 PEL AMR female 9
HG02291 PEL AMR male 10
HG02292 PEL AMR female 2
HG02298 PEL AMR female 7
HG02299 PEL AMR male 7
HG02301 PEL AMR female 5
HG02304 PEL AMR male 3
HG02307 ACB AFR male 4
HG02308 ACB AFR female 3
HG02309 ACB AFR female 7
HG02312 PEL AMR female 3
HG02314 ACB AFR male 3
HG02315 ACB AFR female 6
HG02317 ACB AFR male 2
HG02318 ACB AFR female 1
HG02322 ACB AFR female 7
HG02323 ACB AFR male 2
HG02325 ACB AFR female 10
HG02330 ACB AFR male 8
HG02332 ACB AFR male 8
HG02334 ACB AFR male 10
HG02337 ACB AFR female 9
HG02339 ACB AFR female 3
HG02343 ACB AFR male 4
HG02345 PEL AMR female 6
HG02348 PEL AMR female 9
HG02351 CDX EAS male 6
HG02353 CDX EAS male 10
HG02355 CDX EAS male 5
HG02356 CDX EAS male 4
HG02360 CDX EAS male 6
HG02364 CDX EAS male 9
HG02367 CDX EAS male 3
HG02371 CDX EAS male 1
HG02373 CDX EAS male 1
HG02374 CDX EAS male 10
HG02375 CDX EAS male 10
HG02379 CDX EAS male 3
HG02380 CDX EAS male 9
HG02382 CDX EAS male 5
HG02383 CDX EAS male 6
HG02384 CDX EAS male 1
HG02385 CDX EAS male 10
HG02386 CDX EAS male 5
HG02389 CDX EAS male 4
HG02390 CDX EAS male 4
HG02391 CDX EAS male 8
HG02392 CDX EAS male 2
HG02394 CDX EAS male 9
HG02395 CDX EAS male 10
HG02396 CDX EAS male 10
HG02397 CDX EAS male 8
HG02398 CDX EAS male 8
HG02399 CDX EAS male 4
HG02401 CDX EAS male 2
HG02402 CDX EAS male 5
